"","chi","df","p_value"
"Kruskal-Wallis chi-squared.307",45.5049223691838,5,1.14536305121692e-08
"Kruskal-Wallis chi-squared.308",50.0140786922634,5,1.37663496281932e-09
"Kruskal-Wallis chi-squared.309",56.5787605894871,5,6.17582631320423e-11
"Kruskal-Wallis chi-squared.310",48.0452684598706,5,3.47714365132959e-09
"Kruskal-Wallis chi-squared.311",49.3370589708066,5,1.89366497630837e-09
"Kruskal-Wallis chi-squared.312",46.5640513933993,5,6.97121474508557e-09
"Kruskal-Wallis chi-squared.313",45.1527318325796,5,1.35075624293648e-08
"Kruskal-Wallis chi-squared.314",42.4580051946741,5,4.75806036435425e-08
"Kruskal-Wallis chi-squared.315",52.6560392556615,5,3.95710803487101e-10
"Kruskal-Wallis chi-squared.316",48.076445235533,5,3.42655784642875e-09
"Kruskal-Wallis chi-squared.317",49.4775856337492,5,1.77242400853324e-09
"Kruskal-Wallis chi-squared.318",42.776336303071,5,4.10155490855211e-08
"Kruskal-Wallis chi-squared.319",53.5165412707279,5,2.63446264094599e-10
"Kruskal-Wallis chi-squared.320",52.4402041786723,5,4.38197589547542e-10
"Kruskal-Wallis chi-squared.321",56.5063281817905,5,6.39172424518484e-11
"Kruskal-Wallis chi-squared.322",63.5964439415984,5,2.19026579351548e-12
"Kruskal-Wallis chi-squared.323",54.7340119126142,5,1.48062293739599e-10
"Kruskal-Wallis chi-squared.324",54.1467371282436,5,1.95521849870005e-10
"Kruskal-Wallis chi-squared.325",49.4866633739713,5,1.76486382073628e-09
"Kruskal-Wallis chi-squared.326",55.988510544515,5,8.17095325425431e-11
"Kruskal-Wallis chi-squared.327",60.6342177849733,5,8.98767872512175e-12
"Kruskal-Wallis chi-squared.328",44.7148494775345,5,1.65801890550248e-08
"Kruskal-Wallis chi-squared.329",54.5730173608152,5,1.59791583583455e-10
"Kruskal-Wallis chi-squared.330",52.6796401494232,5,3.91321842950724e-10
"Kruskal-Wallis chi-squared.331",39.4129898936344,5,1.96099138957367e-07
"Kruskal-Wallis chi-squared.332",50.7289701437739,5,9.82807110742147e-10
"Kruskal-Wallis chi-squared.333",46.0244709858835,5,8.97851466975662e-09
"Kruskal-Wallis chi-squared.334",50.7897850700986,5,9.55020895102496e-10
"Kruskal-Wallis chi-squared.335",54.1969725086236,5,1.90927750152529e-10
"Kruskal-Wallis chi-squared.336",38.4324794942925,5,3.08887060470872e-07
"Kruskal-Wallis chi-squared.337",50.5187013525298,5,1.08524166248183e-09
"Kruskal-Wallis chi-squared.338",44.689859024247,5,1.67752040917802e-08
"Kruskal-Wallis chi-squared.339",52.8326503883382,5,3.64021916457763e-10
"Kruskal-Wallis chi-squared.340",49.9690885861293,5,1.40612835878171e-09
"Kruskal-Wallis chi-squared.341",44.3244612550745,5,1.99021176256983e-08
"Kruskal-Wallis chi-squared.342",48.5495859935261,5,2.74307874502439e-09
"Kruskal-Wallis chi-squared.343",48.6854735327255,5,2.57322752988946e-09
"Kruskal-Wallis chi-squared.344",48.5367701498755,5,2.75966360415615e-09
"Kruskal-Wallis chi-squared.345",35.2739638792369,5,1.32661275917644e-06
"Kruskal-Wallis chi-squared.346",47.5503741890554,5,4.38751438689306e-09
"Kruskal-Wallis chi-squared.347",49.8596531203286,5,1.48052701984868e-09
"Kruskal-Wallis chi-squared.348",58.1394440709918,5,2.94385380409174e-11
